,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,💵 금융소득,TRUE, 이자소득 ,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,지출,🏠 주거비,TRUE, 전세이자 ,TRUE, 관리비 ,TRUE, 수도요금 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,TRUE, 도시가스 ,TRUE, 전기요금 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,🛍️ 물품구입비,FALSE, 생활필수품 ,FALSE, 운동용품 ,, 세탁비 ,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 가전 / 가구 ,FALSE, 기타물품 ,, 수리비 ,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,🍽️ 식비,FALSE, 식자재 ,FALSE, 외식 ,FALSE, 디저트 / 간식 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 배달 ,FALSE, 편의점 ,FALSE, 코스트코 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,☕️ 커피,FALSE, 커피 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,🚌 교통비,TRUE, 대중교통 ,FALSE, 택시비 ,FALSE, 기차 / 버스 ,FALSE, 차량관리비 ,FALSE, 과태료 ,,,,,,,,,,,,,,,,,,,
,,,TRUE, 차량렌탈 ,FALSE, 주유비 ,FALSE, 주차비 ,FALSE, 통행료 / 톨비 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,💰 보험료,TRUE, 실비보험 ,TRUE, 자동차보험 ,TRUE, 건강보험 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,TRUE, 생명보험 ,FALSE, 여행자보험 ,TRUE, 국민연금 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,🩺 건강,FALSE, 병원비 ,FALSE, 약제비 ,FALSE, 건강식품 ,FALSE, 기타건강비 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,🎬 문화생활,FALSE, 영화 ,FALSE, 도서 ,FALSE, 학원 / 수강 , 학원 ,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 전시 ,FALSE, 운동 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,💻 구독 / 서비스,FALSE, 넷플릭스 ,FALSE, 애플 ,FALSE, Chat GPT ,FALSE, 어도비 ,FALSE, 구글 ,,,,,,,,,,,,,,,,,,,
,,,FALSE, 유튜브 프리미엄 ,FALSE, 디즈니플러스 ,FALSE, ENVATO ,FALSE, 쿠팡 ,FALSE, 기타 ,,,,,,,,,,,,,,,,,,,
,,📞 통신비,FALSE, 쾅 통신요금 ,FALSE, 인터넷 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 영 통신요금 ,FALSE, 우편료 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,👩‍💻 사업비,FALSE, 장비 ,FALSE, 식비 ,FALSE, 출장비 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 진행비 ,FALSE, 인건비 ,FALSE, 사업 관련 세금 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,💛 기부금,FALSE, 헌금 ,FALSE, 십일조 ,FALSE, 공간 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 정기후원 ,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,세금,FALSE, 지방세 ,FALSE, 자동차세 ,FALSE, 관세 ,FALSE, 과태료 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 재산세 ,FALSE, 양도세 ,FALSE,증여세,FALSE, 기타세금 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,🎁 경조 / 선물,FALSE, 가족 / 친척 ,FALSE, 교회 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 지인 / 친구 ,FALSE, 모임 회비 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,💰 저축,FALSE, 청약 ,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,💇‍♀️ 꾸밈비,FALSE, 뷰티 / 화장품 ,FALSE, 쾅 의류 / 잡화 ,FALSE, 세탁수선비 ,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 미용 / 헤어 ,FALSE, 영 의류 / 잡화 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,✈️ 여행,FALSE, 식비 ,FALSE, 이동수단 ,FALSE, 기념품 / 쇼핑 ,FALSE, 서비스 / 데이터 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE, 숙박비 ,FALSE, 관광 / 입장료 ,FALSE, 항공비 ,FALSE, 그외 ,FALSE,,,,,,,,,,,,,,,,,,,,
,,⚠️ 기타비용,FALSE, 기타 ,FALSE, 지급수수료 ,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,
